epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8960932,0.32337562375451195,0.9698529,0.09988176488071022
1,0.9692315,0.09827950058207024,0.98106617,0.060143545600037804
2,0.97757703,0.0725530987466745,0.9845588,0.05051336564416381
3,0.98119956,0.05957461255153276,0.9860294,0.052812750791353585
4,0.9841801,0.05336911336057434,0.98860294,0.043750709551579135
5,0.98569334,0.04769274669553574,0.9898897,0.035912218247240696
6,0.9872065,0.041294695244974915,0.9854779,0.05629972188396684
7,0.9888573,0.03717129984098543,0.9891544,0.03643751659770875
8,0.9891324,0.03581318503945986,0.9862132,0.05353933511166882
9,0.989912,0.03244033868250258,0.9902574,0.034458033076204146
10,0.9897744,0.03315358830521555,0.98566175,0.051242113555802944
11,0.99160856,0.026221768186336494,0.9865809,0.05946910551054731
12,0.9915627,0.028026291813103878,0.9875,0.05123712472954848
13,0.9932135,0.02687126535908782,0.990625,0.03934113609921978
14,0.99225056,0.027316344280564998,0.98878676,0.04434817241019439
15,0.992113,0.02608216737540503,0.98952204,0.05159385363491613
16,0.9932135,0.023323794057131572,0.98566175,0.05753512455633306
17,0.99261737,0.023415707807426175,0.98952204,0.05395211958759899
18,0.9929384,0.02261903989507141,0.9867647,0.07504795789431351
19,0.99440575,0.022501097542975995,0.98860294,0.07787314448048593
